experiment_id,timestamp,scenario,label,order_request_rate,order_error_rate_5xx,order_error_rate_4xx,order_p99_latency_s,order_p95_latency_s,order_p50_latency_s,order_jvm_heap_mb,order_active_threads,order_service_up,payment_request_rate,payment_error_rate_5xx,payment_error_rate_4xx,payment_p99_latency_s,payment_p95_latency_s,payment_p50_latency_s,payment_jvm_heap_mb,payment_active_threads,payment_service_up,inventory_request_rate,inventory_error_rate_5xx,inventory_error_rate_4xx,inventory_p99_latency_s,inventory_p95_latency_s,inventory_p50_latency_s,inventory_jvm_heap_mb,inventory_active_threads,inventory_service_up,shipping_request_rate,shipping_error_rate_5xx,shipping_error_rate_4xx,shipping_p99_latency_s,shipping_p95_latency_s,shipping_p50_latency_s,shipping_jvm_heap_mb,shipping_active_threads,shipping_service_up,delivery_request_rate,delivery_error_rate_5xx,delivery_error_rate_4xx,delivery_p99_latency_s,delivery_p95_latency_s,delivery_p50_latency_s,delivery_jvm_heap_mb,delivery_active_threads,delivery_service_up,notification_request_rate,notification_error_rate_5xx,notification_error_rate_4xx,notification_p99_latency_s,notification_p95_latency_s,notification_p50_latency_s,notification_jvm_heap_mb,notification_active_threads,notification_service_up,run,fault_type,fault_service,fault_delay_ms,order_error_ratio,order_latency_spike,payment_error_ratio,payment_latency_spike,inventory_error_ratio,inventory_latency_spike,shipping_error_ratio,shipping_latency_spike,delivery_error_ratio,delivery_latency_spike,notification_error_ratio,notification_latency_spike,system_mean_error_rate,system_max_error_rate,system_max_p99_latency,system_mean_p99_latency,num_services_down,rolling_mean_error,rolling_std_error,delta_error_rate,acceleration_error,delta_latency,rolling_mean_latency,delta_services_down
e5d92d8f,2026-09-01T16:08:43.387549,PAYMENT_DOWN,1,0.321098,0.0,,,,,6.0,,1.0,0.321085,0.120407,,,,,1.0,,1.0,0.320969,0.0,0.0,,,,3.999985,,1.0,0.321092,0.0,,,,,19.0,,1.0,0.30103,0.0,,,,,15.0,,1.0,0.441395,0.0,,,,,1.0,,1.0,5,DOWN,payment-service,0,0.0,,0.3750003881370964,,0.0,,0.0,,0.0,,0.0,,0.0200678333333333,0.120407,,,0,0.02450211111111107,0.0050864642825982735,-0.009986833333333302,-0.016657666666666602,0.0,,0.0
80a0ed50,2026-09-01T16:24:00.648948,PAYMENT_ERROR,1,0.420202,0.0,,,,,2.0,,1.0,0.452946,0.11292,,,,,0.0,,1.0,0.480182,0.0,0.240091,,,,20.0,,1.0,0.440026,0.0,,,,,1.0,,1.0,0.50024,0.120058,,,,,0.0,,1.0,0.800384,0.0,,,,,13.999992,,1.0,1,ERROR,payment-service,0,0.0,,0.2493012406571617,,0.0,,0.0,,0.2400007991364129,,0.0,,0.0388296666666666,0.120058,,,0,0.0388296666666666,0.0,0.0,0.0,0.0,,0.0
7a0998a9,2026-09-01T16:24:42.104724,PAYMENT_ERROR,1,0.30036,0.0,,,,,0.0,,1.0,0.335894,0.132765,,,,,4.0,,1.0,0.32025,0.0,0.120094,,,,25.0,,1.0,0.299634,0.0,,,,,6.0,,1.0,0.298954,0.0,,,,,0.0,,1.0,0.419162,0.0,,,,,18.999992,,1.0,2,ERROR,payment-service,0,0.0,,0.39525862207941,,0.0,,0.0,,0.0,,0.0,,0.0221274999999999,0.132765,,,0,0.030478583333333253,0.01181021531050794,-0.016702166666666702,-0.016702166666666702,0.0,,0.0
11a50610,2026-09-01T16:25:19.486797,PAYMENT_ERROR,1,0.419698,0.0,,,,,0.0,,1.0,0.439683,0.219842,,,,,8.0,,1.0,0.419706,0.0,0.19986,,,,28.0,,1.0,0.379734,0.0,,,,,10.0,,1.0,0.419706,0.0,,,,,3.0,,1.0,0.559608,0.0,,,,,21.999992,,1.0,3,ERROR,payment-service,0,0.0,,0.5000011360457395,,0.0,,0.0,,0.0,,0.0,,0.0366403333333333,0.219842,,,0,0.032532499999999936,0.00907724153369908,0.014512833333333402,0.031215000000000104,0.0,,0.0
fed9ae4a,2026-09-01T16:25:47.299535,PAYMENT_ERROR,1,0.500626,0.0,,,,,5.0,,1.0,0.500511,0.240245,,,,,10.0,,1.0,0.48049,0.0,0.240245,,,,32.0,,1.0,0.44044,0.0,,,,,14.0,,1.0,0.481599,0.0,,,,,2.0,,1.0,0.679986,0.0,,,,,24.999992,,1.0,4,ERROR,payment-service,0,0.0,,0.4799994396127169,,0.0,,0.0,,0.0,,0.0,,0.0400408333333333,0.240245,,,0,0.03293622222222217,0.009513790365588843,0.0034005000000000007,-0.011112333333333401,0.0,,0.0
c1b5379d,2026-09-01T16:26:24.910404,PAYMENT_ERROR,1,0.440476,0.0,,,,,10.0,,1.0,0.380228,0.160096,,,,,2.0,,1.0,0.320173,0.0,0.120065,,,,36.0,,1.0,0.420555,0.0,,,,,17.0,,1.0,0.400224,0.0,,,,,5.0,,1.0,0.420227,0.0,,,,,4.0,,1.0,5,ERROR,payment-service,0,0.0,,0.4210526304715785,,0.0,,0.0,,0.0,,0.0,,0.0266826666666666,0.160096,,,0,0.03445461111111107,0.006942131545724873,-0.013358166666666702,-0.016758666666666703,0.0,,0.0
ad26a599,2026-09-01T16:31:09.415973,PAYMENT_LATENCY_3S,1,0.320218,0.0,,,,,20.0,,1.0,0.380259,0.0,,,,,13.0,,1.0,0.320218,0.0,0.120082,,,,20.0,,1.0,0.300204,0.0,,,,,25.0,,1.0,0.30021,0.0,,,,,33.0,,1.0,0.540357,0.0,,,,,41.0,,1.0,1,LATENCY,payment-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
781454d9,2026-09-01T16:31:52.058818,PAYMENT_LATENCY_3S,1,0.320179,0.0,,,,,25.0,,1.0,0.340184,0.0,,,,,18.0,,1.0,0.320173,0.0,0.120065,,,,25.0,,1.0,0.320173,0.0,,,,,29.999992,,1.0,0.32007,0.0,,,,,37.0,,1.0,0.600336,0.0,,,,,46.0,,1.0,2,LATENCY,payment-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
d387bda1,2026-09-01T16:32:37.900887,PAYMENT_LATENCY_3S,1,0.340177,0.0,,,,,32.0,,1.0,0.340252,0.0,,,,,23.0,,1.0,0.340245,0.0,0.120086,,,,30.0,,1.0,0.320237,0.0,,,,,35.999992,,1.0,0.320231,0.0,,,,,41.0,,1.0,0.560415,0.0,,,,,3.999992,,1.0,3,LATENCY,payment-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
197b4516,2026-09-01T16:33:22.187735,PAYMENT_LATENCY_3S,1,0.300156,0.0,,,,,38.0,,1.0,0.360195,0.0,,,,,26.0,,1.0,0.340177,0.0,0.120062,,,,34.0,,1.0,0.320166,0.0,,,,,39.999992,,1.0,0.30009,0.0,,,,,46.0,,1.0,0.580302,0.0,,,,,8.999992,,1.0,4,LATENCY,payment-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
6f0b88d4,2026-09-01T16:34:06.633734,PAYMENT_LATENCY_3S,1,0.340102,0.0,,,,,44.0,,1.0,0.320789,0.0,,,,,32.0,,1.0,0.320808,0.0,0.120303,,,,39.0,,1.0,0.300764,0.0,,,,,44.999992,,1.0,0.300752,0.0,,,,,2.0,,1.0,0.541364,0.0,,,,,13.999992,,1.0,5,LATENCY,payment-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
4cdebaa3,2026-09-01T16:15:03.400786,SHIPPING_DOWN,1,0.341407,0.0,,,,,2.0,,1.0,0.421019,0.0,,,,,7.0,,1.0,0.421002,0.100239,0.0,,,,1.0,,1.0,0.401502,0.121009,,,,,2.0,,1.0,0.200791,0.0,,,,,0.0,,1.0,0.421653,0.0,,,,,3.0,,1.0,1,DOWN,shipping-service,0,0.0,,0.0,,0.2380962555092463,,0.3013907768793411,,0.0,,0.0,,0.0368746666666666,0.121009,,,0,0.0368746666666666,0.0,0.0,0.0,0.0,,0.0
8e975b1e,2026-09-01T16:15:42.256905,SHIPPING_DOWN,1,0.341091,0.0,,,,,0.0,,1.0,0.326494,0.0,,,,,0.0,,1.0,0.39148,0.0,0.050231,,,,1.0,,1.0,0.381342,0.180636,,,,,6.0,,1.0,0.200747,0.0,,,,,2.0,,1.0,0.420884,0.0,,,,,1.0,,1.0,2,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.4736850373845916,,0.0,,0.0,,0.0301059999999999,0.180636,,,0,0.03349033333333325,0.004786170099591365,-0.006768666666666697,-0.006768666666666697,0.0,,0.0
bdd0687d,2026-09-01T16:16:14.116169,SHIPPING_DOWN,1,0.421238,0.0,,,,,4.999992,,1.0,0.381143,0.0,,,,,3.0,,1.0,0.481425,0.0,0.100299,,,,4.0,,1.0,0.441315,0.240717,,,,,2.0,,1.0,0.180531,0.0,,,,,1.0,,1.0,0.521544,0.0,,,,,0.0,,1.0,3,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.5454539262308012,,0.0,,0.0,,0.0401194999999999,0.240717,,,0,0.035700055555555464,0.005109043844914554,0.010013499999999998,0.016782166666666695,0.0,,0.0
70ce6f99,2026-09-01T16:16:45.868331,SHIPPING_DOWN,1,0.440961,0.0,,,,,3.0,,1.0,0.440961,0.0,,,,,6.0,,1.0,0.440952,0.0,0.18039,,,,2.0,,1.0,0.400874,0.180393,,,,,4.0,,1.0,0.200433,0.0,,,,,3.0,,1.0,0.601311,0.0,,,,,3.999985,,1.0,4,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.4499992505126317,,0.0,,0.0,,0.0300655,0.180393,,,0,0.03343033333333326,0.00579302365637609,-0.0100539999999999,-0.020067499999999898,0.0,,0.0
3b35e973,2026-09-01T16:17:16.860799,SHIPPING_DOWN,1,0.461273,0.0,,,,,0.999992,,1.0,0.421137,0.0,,,,,10.0,,1.0,0.501404,0.0,0.240674,,,,0.0,,1.0,0.441191,0.24065,,,,,7.0,,1.0,0.200541,0.0,,,,,1.0,,1.0,0.661787,0.0,,,,,2.0,,1.0,5,DOWN,shipping-service,0,0.0,,0.0,,0.0,,0.5454553684335007,,0.0,,0.0,,0.0401083333333333,0.24065,,,0,0.0367644444444444,0.00580145875413464,0.010042833333333303,0.020096833333333203,0.0,,0.0
713a94e3,2026-09-01T16:28:53.357149,SHIPPING_ERROR,1,0.480346,0.0,,,,,38.0,,1.0,0.459697,0.0,,,,,7.999985,,1.0,0.540389,0.140101,0.120086,,,,4.0,,1.0,0.380281,0.0,,,,,11.0,,1.0,0.359763,0.0,,,,,21.0,,1.0,0.840588,0.0,,,,,23.0,,1.0,1,ERROR,shipping-service,0,0.0,,0.0,,0.2592595329304269,,0.0,,0.0,,0.0,,0.0233501666666666,0.140101,,,0,0.0233501666666666,0.0,0.0,0.0,0.0,,0.0
bd480d86,2026-09-01T16:29:18.767449,SHIPPING_ERROR,1,0.480048,0.0,,,,,43.0,,1.0,0.460037,0.0,,,,,0.0,,1.0,0.50005,0.0,0.240024,,,,8.0,,1.0,0.387466,0.127473,,,,,13.0,,1.0,0.240019,0.0,,,,,22.0,,1.0,0.70007,0.0,,,,,27.0,,1.0,2,ERROR,shipping-service,0,0.0,,0.0,,0.0,,0.3289914461423933,,0.0,,0.0,,0.0212455,0.127473,,,0,0.0222978333333333,0.00148822407213724,-0.0021046666666665985,-0.0021046666666665985,0.0,,0.0
184de0ef,2026-09-01T16:29:41.286551,SHIPPING_ERROR,1,0.460433,0.0,,,,,5.0,,1.0,0.480452,0.0,,,,,3.0,,1.0,0.50047,0.0,0.240226,,,,10.0,,1.0,0.50046,0.240221,,,,,16.0,,1.0,0.220211,0.0,,,,,25.0,,1.0,0.700673,0.0,,,,,30.0,,1.0,3,ERROR,shipping-service,0,0.0,,0.0,,0.0,,0.4800003986732198,,0.0,,0.0,,0.0400368333333333,0.240221,,,0,0.0282108333333333,0.010295538472777631,0.0187913333333333,0.020895999999999897,0.0,,0.0
668e840b,2026-09-01T16:30:04.190161,SHIPPING_ERROR,1,0.460092,0.0,,,,,9.0,,1.0,0.460313,0.0,,,,,6.0,,1.0,0.540108,0.0,0.280056,,,,13.0,,1.0,0.520114,0.260057,,,,,18.0,,1.0,0.220145,0.0,,,,,27.0,,1.0,0.740163,0.0,,,,,32.0,,1.0,4,ERROR,shipping-service,0,0.0,,0.0,,0.0,,0.4999999990386723,,0.0,,0.0,,0.0433428333333333,0.260057,,,0,0.034875055555555534,0.011918724658346674,0.0033060000000000034,-0.015485333333333295,0.0,,0.0
e1f0fa08,2026-09-01T16:30:27.256595,SHIPPING_ERROR,1,0.460313,0.0,,,,,14.0,,1.0,0.460212,0.0,,,,,9.0,,1.0,0.50023,0.0,0.24011,,,,16.0,,1.0,0.52025,0.240115,,,,,21.0,,1.0,0.220097,0.0,,,,,29.0,,1.0,0.720331,0.0,,,,,36.0,,1.0,5,ERROR,shipping-service,0,0.0,,0.0,,0.0,,0.4615377213617728,,0.0,,0.0,,0.0400191666666666,0.240115,,,0,0.0411329444444444,0.0019138403025602121,-0.003323666666666704,-0.006629666666666707,0.0,,0.0
94e6b150,2026-09-01T16:38:46.062635,SHIPPING_LATENCY_3S,1,0.319994,0.0,,,,,83.999992,,1.0,0.320115,0.0,,,,,3.0,,1.0,0.340109,0.0,0.120038,,,,69.0,,1.0,0.340122,0.0,,,,,11.0,,1.0,0.320109,0.0,,,,,29.999992,,1.0,0.560202,0.0,,,,,25.0,,1.0,1,LATENCY,shipping-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
bcf995b1,2026-09-01T16:39:32.227314,SHIPPING_LATENCY_3S,1,0.300168,0.0,,,,,90.999992,,1.0,0.320058,0.0,,,,,7.0,,1.0,0.340068,0.0,0.120024,,,,74.0,,1.0,0.340068,0.0,,,,,15.0,,1.0,0.300156,0.0,,,,,34.999992,,1.0,0.560101,0.0,,,,,30.0,,1.0,2,LATENCY,shipping-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
31936117,2026-09-01T16:40:21.939300,SHIPPING_LATENCY_3S,1,0.340299,0.0,,,,,99.999992,,1.0,0.340306,0.0,,,,,2.0,,1.0,0.36031,0.0,0.120103,,,,79.0,,1.0,0.36031,0.0,,,,,22.0,,1.0,0.340184,0.0,,,,,40.999992,,1.0,0.580511,0.0,,,,,6.0,,1.0,3,LATENCY,shipping-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
d7e6f9e3,2026-09-01T16:41:04.298227,SHIPPING_LATENCY_3S,1,0.360173,0.0,,,,,0.0,,1.0,0.340477,0.0,,,,,9.0,,1.0,0.400561,0.0,0.120168,,,,4.0,,1.0,0.340156,0.0,,,,,27.0,,1.0,0.34015,0.0,,,,,45.999992,,1.0,0.64091,0.0,,,,,14.999985,,1.0,4,LATENCY,shipping-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
3d11e7f1,2026-09-01T16:41:47.190080,SHIPPING_LATENCY_3S,1,0.400312,0.0,,,,,8.0,,1.0,0.380297,0.0,,,,,2.0,,1.0,0.400304,0.0,0.120091,,,,8.0,,1.0,0.420336,0.0,,,,,35.0,,1.0,0.400312,0.0,,,,,50.999992,,1.0,0.680517,0.0,,,,,2.0,,1.0,5,LATENCY,shipping-service,3000,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,,0.0
